Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary
76	0	0	0	0	0	0	0	0	0	0	0	0	41	7666.545301	4.135645234	5.141612993	6.259354948	7115.862124	7.846944444	7.846944444
77	0	0	0	0	0	0	0	0	0	0	0	0	42	7666.545301	4.135645234	5.141612993	6.259354948	7249.708925	8.061666667	8.061666667
78	0	0	0	0	0	0	0	0	0	0	0	0	42	7666.545301	4.135645234	5.141612993	6.259354948	7386.073336	8.085	8.085
79	0	0	0	0	0	0	0	0	0	0	0	0	43	7666.545301	4.135645234	5.141612993	6.259354948	7525.002713	8.389886364	8.389886364
80	0	0	0	0	0	0	0	0	0	0	0	0	44	7666.545301	4.135645234	5.141612993	6.259354948	7666.545301	8.7	8.7
81	0	0	0	0	0	0	0	0	0	0	0	0	45	9537.237449	4.788375513	5.953115503	7.247271047	8331.466937	9.015340909	9.015340909
82	0	0	0	0	0	0	0	0	0	0	0	0	46	9537.237449	4.788375513	5.953115503	7.247271047	8488.178826	9.335909091	9.335909091
83	0	0	0	0	0	0	0	0	0	0	0	0	46	9537.237449	4.788375513	5.953115503	7.247271047	8647.83841	9.456136364	9.456136364
84	0	0	0	0	0	0	0	0	0	0	0	0	47	9537.237449	4.788375513	5.953115503	7.247271047	8810.501132	9.784545455	9.784545455
85	0	0	0	0	0	0	0	0	0	0	0	0	48	9537.237449	4.788375513	5.953115503	7.247271047	9537.237449	10.11818182	10.11818182
86	0	0	0	0	0	0	0	0	0	0	0	0	49	11084.38	4.788375513	5.953115503	7.247271047	9716.629447	10.45704545	10.45704545
87	0	0	0	0	0	0	0	0	0	0	0	0	50	11084.38	4.788375513	5.953115503	7.247271047	9899.395744	10.80113636	10.80113636
88	0	0	0	0	0	0	0	0	0	0	0	0	51	11084.38	4.788375513	5.953115503	7.247271047	10085.59981	11.15045455	11.15045455
89	0	0	0	0	0	0	0	0	0	0	0	0	52	11084.38	4.788375513	5.953115503	7.247271047	10275.3063	11.505	11.505
90	0	0	0	0	0	0	0	0	0	0	0	0	53	11084.38	4.788375513	5.953115503	7.247271047	11084.38	11.86477273	11.86477273
91	0	0	0	0	0	0	0	0	0	0	0	0	54	12842.74114	5.574813013	6.93084861	8.43755483	11292.87319	12.22977273	12.22977273
92	0	0	0	0	0	0	0	0	0	0	0	0	55	12842.74114	5.574813013	6.93084861	8.43755483	11505.28806	12.6	12.6
93	0	0	0	0	0	0	0	0	0	0	0	0	56	12842.74114	5.574813013	6.93084861	8.43755483	11721.69838	12.97545455	12.97545455
94	0	0	0	0	0	0	0	0	0	0	0	0	57	12842.74114	5.574813013	6.93084861	8.43755483	12605.63371	13.35613636	13.35613636
95	0	0	0	0	0	0	0	0	0	0	0	0	58	12842.74114	5.574813013	6.93084861	8.43755483	12842.74114	13.74204545	13.74204545
96	0	0	0	0	0	0	0	0	0	0	0	0	59	14838.81944	5.574813013	6.93084861	8.43755483	13084.30847	14.13318182	14.13318182
97	0	0	0	0	0	0	0	0	0	0	0	0	60	14838.81944	5.574813013	6.93084861	8.43755483	13330.41959	14.52954545	14.52954545
98	0	0	0	0	0	0	0	0	0	0	0	0	61	14838.81944	5.574813013	6.93084861	8.43755483	13581.15998	14.93113636	14.93113636
99	0	0	0	0	0	0	0	0	0	0	0	0	63	14838.81944	5.574813013	6.93084861	8.43755483	14564.85968	15.58534091	15.58534091
100	0	0	0	0	0	0	0	0	0	0	0	0	64	14838.81944	5.574813013	6.93084861	8.43755483	14838.81944	16	16
101	0	0	0	0	0	0	0	0	0	0	0	0	65	16287.88061	7.930273433	8.987643224	11.10238281	15117.93229	16.25	16.25
102	0	0	0	0	0	0	0	0	0	0	0	0	66	16287.88061	7.930273433	8.987643224	11.10238281	15402.29514	16.5	16.5
103	0	0	0	0	0	0	0	0	0	0	0	0	67	16287.88061	7.930273433	8.987643224	11.10238281	15692.00676	16.75	16.75
104	0	0	0	0	0	0	0	0	0	0	0	0	69	16287.88061	7.930273433	8.987643224	11.10238281	15987.16775	17.25	17.25
105	0	0	0	0	0	0	0	0	0	0	0	0	70	16287.88061	7.930273433	8.987643224	11.10238281	16287.88061	17.5	17.5
106	0	0	0	0	0	0	0	0	0	0	0	0	71	17878.44753	7.930273433	8.987643224	11.10238281	16594.24977	17.75	17.75
107	0	0	0	0	0	0	0	0	0	0	0	0	73	17878.44753	7.930273433	8.987643224	11.10238281	16906.38163	18.25	18.25
108	0	0	0	0	0	0	0	0	0	0	0	0	74	17878.44753	7.930273433	8.987643224	11.10238281	17224.38457	18.5	18.5
109	0	0	0	0	0	0	0	0	0	0	0	0	75	17878.44753	7.930273433	8.987643224	11.10238281	17548.36903	18.75	18.75
110	0	0	0	0	0	0	0	0	0	0	0	0	77	17878.44753	7.930273433	8.987643224	11.10238281	17878.44753	19.25	19.25
111	0	0	0	0	0	0	0	0	0	0	0	0	114	51270.21984	30	40	60	31901.12123	28.5	28.5
112	0	0	0	0	0	0	0	0	0	0	0	0	132	51270.21984	30	40	60	37283.16224	33	33
113	0	0	0	0	0	0	0	0	0	0	0	0	150	51270.21984	30	40	60	42509.50025	37.5	37.5
114	0	0	0	0	0	0	0	0	0	0	0	0	168	51270.21984	30	40	60	47273.20794	42	42
115	0	0	0	0	0	0	0	0	0	0	0	0	184	51270.21984	30	40	60	51270.21984	46	46
116	0	0	0	0	0	0	0	0	0	0	0	0	202	83343.56291	30	40	60	55354.77958	50.5	50.5
117	0	0	0	0	0	0	0	0	0	0	0	0	216	83343.56291	30	40	60	58256.56746	54	54
118	0	0	0	0	0	0	0	0	0	0	0	0	231	83343.56291	30	40	60	61251.95512	57.75	57.75
119	0	0	0	0	0	0	0	0	0	0	0	0	248	83343.56291	30	40	60	65059.63307	62	62
120	0	0	0	0	0	0	0	0	0	0	0	0	311	83343.56291	30	40	60	83343.56291	77.75	77.75
121	0	0	0	0	0	0	0	0	0	0	0	0	311	83343.56291	30	40	60	83343.56291	77.75	77.75
122	0	0	0	0	0	0	0	0	0	0	0	0	311	83343.56291	30	40	60	83343.56291	77.75	77.75
123	0	0	0	0	0	0	0	0	0	0	0	0	311	83343.56291	30	40	60	83343.56291	77.75	77.75
