Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
518	1.323967335	1.323967335	1.323967335	1.323967335
519	1.323967335	1.323967335	1.323967335	1.323967335
520	1.323967335	1.323967335	1.323967335	1.323967335
521	1.323967335	1.323967335	1.323967335	1.323967335
522	1.323967335	1.323967335	1.323967335	1.323967335
523	1.323967335	1.323967335	1.323967335	1.323967335
524	1.323967335	1.323967335	1.323967335	1.323967335
525	1.323967335	1.323967335	1.323967335	1.323967335
526	1.323967335	1.323967335	1.323967335	1.323967335
527	1.323967335	1.323967335	1.323967335	1.323967335
528	1.323967335	1.323967335	1.323967335	1.323967335
529	1.323967335	1.323967335	1.323967335	1.323967335
530	1.323967335	1.323967335	1.323967335	1.323967335
531	1.323967335	1.323967335	1.323967335	1.323967335
532	1.323967335	1.323967335	1.323967335	1.323967335
533	1.323967335	1.323967335	1.323967335	1.323967335
534	1.323967335	1.323967335	1.323967335	1.323967335
535	1.323967335	1.323967335	1.323967335	1.323967335
536	1.323967335	1.323967335	1.323967335	1.323967335
537	1.323967335	1.323967335	1.323967335	1.323967335
538	1.323967335	1.323967335	1.323967335	1.323967335
539	1.323967335	1.323967335	1.323967335	1.323967335
540	1.323967335	1.323967335	1.323967335	1.323967335
541	1.323967335	1.323967335	1.323967335	1.323967335
542	1.323967335	1.323967335	1.323967335	1.323967335
543	1.323967335	1.323967335	1.323967335	1.323967335
544	1.323967335	1.323967335	1.323967335	1.323967335
545	1.323967335	1.323967335	1.323967335	1.323967335
546	1.323967335	1.323967335	1.323967335	1.323967335
547	1.323967335	1.323967335	1.323967335	1.323967335
548	1.323967335	1.323967335	1.323967335	1.323967335
549	1.323967335	1.323967335	1.323967335	1.323967335
550	1.323967335	1.323967335	1.323967335	1.323967335
551	1.323967335	1.323967335	1.323967335	1.323967335
552	1.323967335	1.323967335	1.323967335	1.323967335
553	1.323967335	1.323967335	1.323967335	1.323967335
554	1.323967335	1.323967335	1.323967335	1.323967335
555	1.323967335	1.323967335	1.323967335	1.323967335
556	1.323967335	1.323967335	1.323967335	1.323967335
557	1.323967335	1.323967335	1.323967335	1.323967335
558	1.323967335	1.323967335	1.323967335	1.323967335
559	1.323967335	1.323967335	1.323967335	1.323967335
560	1.323967335	1.323967335	1.323967335	1.323967335
561	1.323967335	1.323967335	1.323967335	1.323967335
562	1.323967335	1.323967335	1.323967335	1.323967335
563	1.323967335	1.323967335	1.323967335	1.323967335
564	1.323967335	1.323967335	1.323967335	1.323967335
565	1.323967335	1.323967335	1.323967335	1.323967335
566	1.323967335	1.323967335	1.323967335	1.323967335
567	1.323967335	1.323967335	1.323967335	1.323967335
568	1.323967335	1.323967335	1.323967335	1.323967335
569	1.323967335	1.323967335	1.323967335	1.323967335
570	1.323967335	1.323967335	1.323967335	1.323967335
571	1.323967335	1.323967335	1.323967335	1.323967335
572	1.323967335	1.323967335	1.323967335	1.323967335
573	1.323967335	1.323967335	1.323967335	1.323967335
574	1.323967335	1.323967335	1.323967335	1.323967335
575	1.323967335	1.323967335	1.323967335	1.323967335
576	1.323967335	1.323967335	1.323967335	1.323967335
577	1.323967335	1.323967335	1.323967335	1.323967335
578	1.323967335	1.323967335	1.323967335	1.323967335
579	1.323967335	1.323967335	1.323967335	1.323967335
580	1.323967335	1.323967335	1.323967335	1.323967335
581	1.323967335	1.323967335	1.323967335	1.323967335
582	1.323967335	1.323967335	1.323967335	1.323967335
583	1.323967335	1.323967335	1.323967335	1.323967335
584	1.323967335	1.323967335	1.323967335	1.323967335
585	1.323967335	1.323967335	1.323967335	1.323967335
586	1.323967335	1.323967335	1.323967335	1.323967335
587	1.323967335	1.323967335	1.323967335	1.323967335
588	1.323967335	1.323967335	1.323967335	1.323967335
589	1.323967335	1.323967335	1.323967335	1.323967335
590	1.323967335	1.323967335	1.323967335	1.323967335
591	1.323967335	1.323967335	1.323967335	1.323967335
592	1.323967335	1.323967335	1.323967335	1.323967335
593	1.323967335	1.323967335	1.323967335	1.323967335
594	1.323967335	1.323967335	1.323967335	1.323967335
595	1.323967335	1.323967335	1.323967335	1.323967335
596	1.323967335	1.323967335	1.323967335	1.323967335
597	1.323967335	1.323967335	1.323967335	1.323967335
598	1.323967335	1.323967335	1.323967335	1.323967335
599	1.323967335	1.323967335	1.323967335	1.323967335
600	1.323967335	1.323967335	1.323967335	1.323967335
601	1.323967335	1.323967335	1.323967335	1.323967335
602	1.323967335	1.323967335	1.323967335	1.323967335
603	1.323967335	1.323967335	1.323967335	1.323967335
604	1.323967335	1.323967335	1.323967335	1.323967335
605	1.323967335	1.323967335	1.323967335	1.323967335
606	1.323967335	1.323967335	1.323967335	1.323967335
607	1.323967335	1.323967335	1.323967335	1.323967335
608	1.323967335	1.323967335	1.323967335	1.323967335
609	1.323967335	1.323967335	1.323967335	1.323967335
610	1.323967335	1.323967335	1.323967335	1.323967335
611	1.323967335	1.323967335	1.323967335	1.323967335
612	1.323967335	1.323967335	1.323967335	1.323967335
613	1.323967335	1.323967335	1.323967335	1.323967335
614	1.323967335	1.323967335	1.323967335	1.323967335
615	1.323967335	1.323967335	1.323967335	1.323967335
616	1.323967335	1.323967335	1.323967335	1.323967335
617	1.323967335	1.323967335	1.323967335	1.323967335
618	1.323967335	1.323967335	1.323967335	1.323967335
619	1.323967335	1.323967335	1.323967335	1.323967335
620	1.323967335	1.323967335	1.323967335	1.323967335
621	1.323967335	1.323967335	1.323967335	1.323967335
622	1.323967335	1.323967335	1.323967335	1.323967335
623	1.323967335	1.323967335	1.323967335	1.323967335
624	1.323967335	1.323967335	1.323967335	1.323967335
625	1.323967335	1.323967335	1.323967335	1.323967335
626	1.323967335	1.323967335	1.323967335	1.323967335
627	1.323967335	1.323967335	1.323967335	1.323967335
628	1.323967335	1.323967335	1.323967335	1.323967335
629	1.323967335	1.323967335	1.323967335	1.323967335
630	1.323967335	1.323967335	1.323967335	1.323967335
631	1.323967335	1.323967335	1.323967335	1.323967335
632	1.323967335	1.323967335	1.323967335	1.323967335
633	1.323967335	1.323967335	1.323967335	1.323967335
634	1.323967335	1.323967335	1.323967335	1.323967335
635	1.323967335	1.323967335	1.323967335	1.323967335
636	1.323967335	1.323967335	1.323967335	1.323967335
637	1.323967335	1.323967335	1.323967335	1.323967335
638	1.323967335	1.323967335	1.323967335	1.323967335
639	1.323967335	1.323967335	1.323967335	1.323967335
640	1.323967335	1.323967335	1.323967335	1.323967335
641	1.323967335	1.323967335	1.323967335	1.323967335
642	1.323967335	1.323967335	1.323967335	1.323967335
643	1.323967335	1.323967335	1.323967335	1.323967335
644	1.323967335	1.323967335	1.323967335	1.323967335
645	1.323967335	1.323967335	1.323967335	1.323967335
646	1.323967335	1.323967335	1.323967335	1.323967335
647	1.323967335	1.323967335	1.323967335	1.323967335
648	1.323967335	1.323967335	1.323967335	1.323967335
649	1.323967335	1.323967335	1.323967335	1.323967335
650	1.323967335	1.323967335	1.323967335	1.323967335
651	1.323967335	1.323967335	1.323967335	1.323967335
652	1.323967335	1.323967335	1.323967335	1.323967335
653	1.323967335	1.323967335	1.323967335	1.323967335
654	1.323967335	1.323967335	1.323967335	1.323967335
655	1.323967335	1.323967335	1.323967335	1.323967335
656	1.323967335	1.323967335	1.323967335	1.323967335
657	1.323967335	1.323967335	1.323967335	1.323967335
658	1.323967335	1.323967335	1.323967335	1.323967335
659	1.323967335	1.323967335	1.323967335	1.323967335
660	1.323967335	1.323967335	1.323967335	1.323967335
661	1.323967335	1.323967335	1.323967335	1.323967335
662	1.323967335	1.323967335	1.323967335	1.323967335
663	1.323967335	1.323967335	1.323967335	1.323967335
664	1.323967335	1.323967335	1.323967335	1.323967335
665	1.323967335	1.323967335	1.323967335	1.323967335
666	1.323967335	1.323967335	1.323967335	1.323967335
667	1.323967335	1.323967335	1.323967335	1.323967335
668	1.323967335	1.323967335	1.323967335	1.323967335
669	1.323967335	1.323967335	1.323967335	1.323967335
670	1.323967335	1.323967335	1.323967335	1.323967335
671	1.323967335	1.323967335	1.323967335	1.323967335
672	1.323967335	1.323967335	1.323967335	1.323967335
673	1.323967335	1.323967335	1.323967335	1.323967335
674	1.323967335	1.323967335	1.323967335	1.323967335
675	1.323967335	1.323967335	1.323967335	1.323967335
676	1.323967335	1.323967335	1.323967335	1.323967335
677	1.323967335	1.323967335	1.323967335	1.323967335
678	1.323967335	1.323967335	1.323967335	1.323967335
679	1.323967335	1.323967335	1.323967335	1.323967335
680	1.323967335	1.323967335	1.323967335	1.323967335
681	1.323967335	1.323967335	1.323967335	1.323967335
682	1.323967335	1.323967335	1.323967335	1.323967335
683	1.323967335	1.323967335	1.323967335	1.323967335
684	1.323967335	1.323967335	1.323967335	1.323967335
685	1.323967335	1.323967335	1.323967335	1.323967335
686	1.323967335	1.323967335	1.323967335	1.323967335
687	1.323967335	1.323967335	1.323967335	1.323967335
688	1.323967335	1.323967335	1.323967335	1.323967335
689	1.323967335	1.323967335	1.323967335	1.323967335
690	1.323967335	1.323967335	1.323967335	1.323967335
691	1.323967335	1.323967335	1.323967335	1.323967335
692	1.323967335	1.323967335	1.323967335	1.323967335
693	1.323967335	1.323967335	1.323967335	1.323967335
694	1.323967335	1.323967335	1.323967335	1.323967335
695	1.323967335	1.323967335	1.323967335	1.323967335
696	1.323967335	1.323967335	1.323967335	1.323967335
697	1.323967335	1.323967335	1.323967335	1.323967335
698	1.323967335	1.323967335	1.323967335	1.323967335
699	1.323967335	1.323967335	1.323967335	1.323967335
700	1.323967335	1.323967335	1.323967335	1.323967335
701	1.323967335	1.323967335	1.323967335	1.323967335
702	1.323967335	1.323967335	1.323967335	1.323967335
703	1.323967335	1.323967335	1.323967335	1.323967335
704	1.323967335	1.323967335	1.323967335	1.323967335
705	1.323967335	1.323967335	1.323967335	1.323967335
706	1.323967335	1.323967335	1.323967335	1.323967335
707	1.323967335	1.323967335	1.323967335	1.323967335
708	1.323967335	1.323967335	1.323967335	1.323967335
709	1.323967335	1.323967335	1.323967335	1.323967335
710	1.323967335	1.323967335	1.323967335	1.323967335
711	1.323967335	1.323967335	1.323967335	1.323967335
712	1.323967335	1.323967335	1.323967335	1.323967335
713	1.323967335	1.323967335	1.323967335	1.323967335
714	1.323967335	1.323967335	1.323967335	1.323967335
715	1.323967335	1.323967335	1.323967335	1.323967335
